,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,13.079879760742188,13.079879760742188,13.07989501953125,[-100.          -48.86999893],[-113.07987976  -48.86999893],[-126.15975952  -48.86999893],[-139.23965454  -48.86999893]
1,13.079879760742188,13.079879760742188,13.07989501953125,[-100.          -48.86999893],[-113.07987976  -48.86999893],[-126.15975952  -48.86999893],[-139.23965454  -48.86999893]
2,13.079879760742188,13.079879760742188,13.07989501953125,[-100.          -48.86999893],[-113.07987976  -48.86999893],[-126.15975952  -48.86999893],[-139.23965454  -48.86999893]
3,13.081825256347656,13.079887390136719,13.07989501953125,[-99.99635315 -48.86999893],[-113.07817841  -48.86999893],[-126.1580658   -48.86999893],[-139.23796082  -48.86999893]
4,13.10081481951588,13.07986450195535,13.08080291794826,[-99.95761871 -48.86987686],[-113.05843353  -48.86994553],[-126.13829803  -48.86995316],[-139.21910095  -48.87006378]
5,13.18135833764577,13.0789642348454,13.082374573830641,[-99.87469482 -48.87005615],[-113.05605316  -48.87013626],[-126.1350174   -48.86994171],[-139.21739197  -48.87010956]
6,13.276679995438377,13.081680299658638,13.09081268418151,[-99.76821899 -48.86988831],[-113.04489899  -48.87015915],[-126.12657928  -48.86994171],[-139.21739197  -48.87010956]
7,13.379066467989961,13.085365295590313,13.114662172212688,[-99.63518524 -48.86982346],[-113.01425171  -48.86996078],[-126.099617    -48.86989212],[-139.21427917  -48.87010956]
8,13.5047760009771,13.093833923659915,13.138580327476195,[-99.46208954 -48.86988068],[-112.96686554  -48.86987686],[-126.06069946  -48.86978531],[-139.19927979  -48.87015533]
9,13.630447388002782,13.118186950928193,13.154037478533594,[-99.25876617 -48.86988068],[-112.88921356  -48.86978912],[-126.00740051  -48.86970901],[-139.16143799  -48.86998749]
10,13.750846862835829,13.155937194859614,13.175819397405597,[-99.02732086 -48.86972046],[-112.77816772  -48.86975479],[-125.93410492  -48.86978531],[-139.10992432  -48.86989212]
11,13.872497562034916,13.205558777287434,13.199577331562812,[-98.76364136 -48.86936951],[-112.63613892  -48.8696785 ],[-125.84169769  -48.86978531],[-139.04127502  -48.8698082 ]
12,13.99245454313748,13.270416260642879,13.220314028133188,[-98.46864319 -48.8689003 ],[-112.46109772  -48.86953354],[-125.73151398  -48.86968613],[-138.951828    -48.86993027]
13,14.111282388195265,13.346412659249653,13.244567882170927,[-98.14409637 -48.86832809],[-112.25537872  -48.86938477],[-125.60179138  -48.86950684],[-138.84635925  -48.87004852]
14,14.224845966846907,13.433029178271227,13.275291453008432,[-97.78945923 -48.86771393],[-112.01430511  -48.86922836],[-125.44733429  -48.86953354],[-138.72262573  -48.87005234]
15,14.333183420608849,13.530372627502103,13.310142522889228,[-97.4056015  -48.86712646],[-111.73878479  -48.86907196],[-125.26915741  -48.86953354],[-138.57929993  -48.86992645]
