,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,11.850692749023438,11.850692749023438,11.850692749023438,[-100.          -48.86999893],[-111.85069275  -48.86999893],[-123.7013855   -48.86999893],[-135.55207825  -48.86999893],0.0,0.0,0.0,0.0
1,11.850692749023438,11.850692749023438,11.850692749023438,[-100.          -48.86999893],[-111.85069275  -48.86999893],[-123.7013855   -48.86999893],[-135.55207825  -48.86999893],0.0,0.0,0.0,0.0
2,11.850692749023438,11.850692749023438,11.850692749023438,[-100.          -48.86999893],[-111.85069275  -48.86999893],[-123.7013855   -48.86999893],[-135.55207825  -48.86999893],0.0,0.0,0.0,0.0
3,11.852638244628906,11.850692749023438,11.850700378417969,[-99.99635315 -48.86999893],[-111.84899139  -48.86999893],[-123.69968414  -48.86999893],[-135.55038452  -48.86999893],0.09550646767510092,0.04772385940180664,0.04772423196899174,0.04772423196899174
4,11.872428895073162,11.849655151470957,11.850891113552006,[-99.95761871 -48.86987686],[-111.83004761  -48.87003326],[-123.67970276  -48.87008286],[-135.53059387  -48.87000275],0.6344096147787697,0.3470864181749164,0.3386024848282894,0.3190067855294905
5,11.95137786906389,11.851219182904181,11.849624636304107,[-99.87469482 -48.87005615],[-111.82607269  -48.87015533],[-123.67729187  -48.86978912],[-135.5269165   -48.87003326],0.9771261277643981,3.706758556428098e-05,3.052846871837183e-05,3.5021365470541365e-05
6,12.045867922881579,11.856079106870306,11.845764161571424,[-99.76821899 -48.86988831],[-111.81408691  -48.87015533],[-123.67016602  -48.86980057],[-135.51593018  -48.86998367],1.1549958715889934,0.21694533872791708,0.12993151030447053,0.1849279336670727
7,12.145805362531345,11.863586431914268,11.84051514191985,[-99.63518524 -48.86982346],[-111.7809906  -48.870121 ],[-123.64457703  -48.86973953],[-135.48509216  -48.87009048],1.4964319537163493,0.3912381972139403,0.3404501275505979,0.39541659631661663
8,12.268318178063565,11.873855597705411,11.840438846138444,[-99.46208954 -48.86988068],[-111.73040771  -48.87009048],[-123.60426331  -48.86968613],[-135.44470215  -48.86996841],1.8566167310947361,0.6035535372147728,0.45326390597229377,0.41726361525756456
9,12.39096069420729,11.900482177837702,11.842262270428183,[-99.25876617 -48.86988068],[-111.64972687  -48.86973572],[-123.55020905  -48.86968613],[-135.39247131  -48.86992264],2.141087684251594,0.9746604332595765,0.6381624568827661,0.6368670315303263
