,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object1.heading,point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.velocity[0],point.objects.object1.velocity[1],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.velocity[0],point.objects.object2.velocity[1],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.velocity[0],point.objects.object3.velocity[1],point.params.inter_vehicle_distance,point.params.random_t1,point.params.random_t2,point.params.random_t3,point.params.random_t4,point.params.random_thr_br1,point.params.random_thr_br2,point.params.weather,rho,rho_0,rho_1
0,0.7322697402025475,0.4319476721440989,0.4319476721440989,0.82426825541333,0.82426825541333,0.82426825541333,-1.5703924403491738,-107.71440942250425,-48.87,0.0,0.0,0.0801528641275811,0.06876440398010811,0.06876440398010811,-1.5703924403491738,-115.4288188450085,-48.87,0.0,0.0,0.7465137312356943,0.7632983277582481,0.7461663335524464,-1.5703924403491738,-123.14322826751274,-48.87,0.0,0.0,7.714409422504242,11.704448748069609,26.69876211701501,31.528752977371685,45.31927215259397,0.39406049049308906,0.011543167108751006,9,-0.23886104583446865,0.24320839994775234,-0.24954130687054832
1,0.777359042852056,0.7898342966967183,0.6211974833425266,0.9327092960430476,0.9327092960430476,0.9327092960430476,-1.5703924403491738,-108.59338678951181,-48.87,0.0,0.0,0.7404384670127332,0.755929141528627,0.7286595130381425,-1.5703924403491738,-117.18677357902362,-48.87,0.0,0.0,0.16533156157569978,0.12955944926873392,0.12955944926873392,-1.5703924403491738,-125.78016036853543,-48.87,0.0,0.0,8.593386789511811,11.144538009470292,28.10592998037461,31.602915871053504,44.965309326613166,0.39660862795740204,0.08953772379919685,5,-0.2429212366080371,0.23687378090845268,-0.23977351725871898
2,0.09514678766789811,0.09268611232317789,0.09220638523216121,0.4063462146692101,0.27554768649635447,0.27554768649635447,-1.5703924403491738,-107.95048275715601,-48.87,0.0,0.0,0.7313751294814957,0.6411401276283046,0.4424260786139723,-1.5703924403491738,-115.90096551431202,-48.87,0.0,0.0,0.9873703017002126,0.9873703017002126,0.9873703017002126,-1.5703924403491738,-123.85144827146803,-48.87,0.0,0.0,7.950482757156004,11.690315008134068,27.137337535659988,32.06319336953357,46.34597433539993,0.2938458339860194,0.14367082642265702,4,-0.23835415610743294,0.23708958230955002,-0.23969736423400168
3,0.5504158979980958,0.5136141303813586,0.4425838807492257,0.1481569231188659,0.1481569231188659,0.1481569231188659,-1.5703924403491738,-108.31783740397421,-48.87,0.0,0.0,0.6087578234944444,0.6087578234944444,0.6087578234944444,-1.5703924403491738,-116.63567480794842,-48.87,0.0,0.0,0.7796390224391632,0.7796390224391632,0.7796390224391632,-1.5703924403491738,-124.95351221192263,-48.87,0.0,0.0,8.317837403974217,11.233603952963605,28.18163749992325,32.5353083096655,45.17043807853751,0.38988405201304943,0.16155415065832565,4,-0.23672484559700546,0.23571770544553594,-0.2374264844561198
4,0.17441743814547767,0.17441743814547767,0.17441743814547767,0.8403556366198671,0.8325248874191188,0.818092557510191,-1.5703924403491738,-108.01733289276635,-48.87,0.0,0.0,0.9884916236666869,0.9884916236666869,0.9884916236666869,-1.5703924403491738,-116.0346657855327,-48.87,0.0,0.0,0.796217193396772,0.796217193396772,0.796217193396772,-1.5703924403491738,-124.05199867829904,-48.87,0.0,0.0,8.01733289276635,11.4901169086911,26.506297317566094,31.059142329374076,46.25254603150981,0.30960458411834507,0.17041335860027804,3,-0.2387693991613169,0.23857628560486166,-0.24197097663682232
5,0.2615265134863168,0.3380407474111661,0.4269237020110012,0.6754895852252145,0.6754895852252145,0.6754895852252145,-1.5703924403491738,-107.38250862656606,-48.87,0.0,0.0,0.9576308231182343,0.9576308231182343,0.9576308231182343,-1.5703924403491738,-114.76501725313213,-48.87,0.0,0.0,0.047053615923830644,0.047053615923830644,0.047053615923830644,-1.5703924403491738,-122.1475258796982,-48.87,0.0,0.0,7.382508626566063,11.753683891435578,28.0827439651035,32.70943676101828,46.146739533017254,0.35656706085683576,0.0609207922846148,7,-0.2639005073308258,0.24622126994458693,-0.24372561789791547
6,0.7337576494892206,0.7199756173598365,0.6229308186625904,0.7206397820134215,0.3825634759135704,0.36684120748711335,-1.5703924403491738,-107.88136694151721,-48.87,0.0,0.0,0.866760609610832,0.8619447107622454,0.8596564844928591,-1.5703924403491738,-115.76273388303443,-48.87,0.0,0.0,0.29288797159447,0.6287227323140223,0.5937339062760468,-1.5703924403491738,-123.64410082455164,-48.87,0.0,0.0,7.881366941517208,10.562724586878208,27.071510552851965,32.47190026936722,46.2662645555297,0.27131324077915253,0.11875750044805311,1,-0.2534179628575952,0.23475645158569503,-0.23939474251251713
7,1.0,1.0,1.0,0.8829133420447227,0.8829133420447227,0.8829133420447227,-1.5703924403491738,-108.08635523925086,-48.87,0.0,0.0,0.9200855328788583,0.9200855328788583,0.9200855328788583,-1.5703924403491738,-116.17271047850173,-48.87,0.0,0.0,0.2177513121964176,0.19029176238503737,0.18715835496256725,-1.5703924403491738,-124.25906571775259,-48.87,0.0,0.0,8.086355239250864,10.969636293649598,26.963535575720496,31.153639834005034,45.99496400616828,0.32600130362528834,0.14826908647039555,7,-0.24723814099117813,0.2371057806022323,-0.2387695310650919
8,0.7697787497394694,0.3704694107797808,0.33437634514863335,0.400677603733365,0.400677603733365,0.400677603733365,-1.5703924403491738,-107.43915031458631,-48.87,0.0,0.0,0.6908375344069593,0.6471473195442222,0.6249197770631278,-1.5703924403491738,-114.87830062917263,-48.87,0.0,0.0,0.956127738540751,0.956127738540751,0.956127738540751,-1.5703924403491738,-122.31745094375894,-48.87,0.0,0.0,7.439150314586317,11.230059076426105,26.782509949632836,31.7149509103253,45.891979219632994,0.32852482472224354,0.003702232376154568,5,-0.26599093462991874,0.24616321688038223,-0.24831905178580715
9,0.8366288158003108,0.8270351567284222,0.8270351567284222,1.0,1.0,1.0,-1.5703924403491738,-107.20899550748568,-48.87,0.0,0.0,0.20856189284182314,0.7051162841669535,0.27709477263010257,-1.5703924403491738,-114.41799101497136,-48.87,0.0,0.0,0.3963758907451681,0.3712942305221829,0.3712942305221829,-1.5703924403491738,-121.62698652245705,-48.87,0.0,0.0,7.208995507485685,11.196078585532867,27.850887985640476,32.54344374676916,45.421664646282125,0.30096992953976187,0.14774555186744054,6,-0.2566833465031486,0.24318998628229238,-0.2403712665546065
