,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,19.867660522460938,19.86767578125,19.867660522460938,[-100.          -48.86999893],[-119.86766052  -48.86999893],[-139.7353363   -48.86999893],[-159.60299683  -48.86999893],0.0,0.0,0.0,0.0
1,19.867660522460938,19.86767578125,19.867660522460938,[-100.          -48.86999893],[-119.86766052  -48.86999893],[-139.7353363   -48.86999893],[-159.60299683  -48.86999893],0.0,0.0,0.0,0.0
2,19.867660522460938,19.86767578125,19.867660522460938,[-100.          -48.86999893],[-119.86766052  -48.86999893],[-139.7353363   -48.86999893],[-159.60299683  -48.86999893],0.0,0.0,0.0,0.0
3,19.869613647460938,19.867660522460938,19.86767578125,[-99.99635315 -48.86999893],[-119.8659668   -48.86999893],[-139.73362732  -48.86999893],[-159.6013031   -48.86999893],0.09550646767510092,0.04772366943467031,0.047723952552203255,0.04772401215751658
4,19.88871002200229,19.866622925203522,19.86811828641992,[-99.95761871 -48.86987686],[-119.84632874  -48.86991119],[-139.71295166  -48.87003708],[-159.58106995  -48.86993027],0.6344096147787697,0.37823943050085235,0.3686065958250086,0.3309279790416421
5,19.97029876811327,19.86663055481487,19.865737915200583,[-99.87469482 -48.87005615],[-119.84499359  -48.86985397],[-139.71162415  -48.87001038],[-159.57736206  -48.86993027],0.9771261277643981,2.79585851369879e-05,2.7800570230640994e-05,3.577126667416525e-05
6,20.06743621826172,19.868949890511704,19.86308288590373,[-99.76821899 -48.86988831],[-119.83565521  -48.86988831],[-139.7046051   -48.87001038],[-159.56768799  -48.86993027],1.1549958715889934,0.2177052929211177,0.1670584807600694,0.19694260219755647
7,20.17136383056677,19.873794556507576,19.859725952294983,[-99.63518524 -48.86982346],[-119.80654907  -48.86981964],[-139.68034363  -48.87000275],[-159.54006958  -48.86992645],1.4964319537163493,0.35063321281926924,0.30426402979518663,0.3095086745853946
8,20.299957275399585,19.88132476807226,19.858428955140045,[-99.46208954 -48.86988068],[-119.76204681  -48.8698616 ],[-139.64337158  -48.86987686],[-159.50180054  -48.86992645],1.8566167310947361,0.5522684150649718,0.4215952037669795,0.4155719461404151
9,20.42595672643898,19.904144287202957,19.858810424813846,[-99.25876617 -48.86988068],[-119.6847229   -48.86975861],[-139.58886719  -48.86981964],[-159.44767761  -48.86983871],2.141087684251594,0.9293374160890696,0.6179462212034087,0.654529328525472
10,20.545783997236825,19.941894533037804,19.861282348704616,[-99.02732086 -48.86972046],[-119.57310486  -48.86955643],[-139.51499939  -48.86982346],[-159.37628174  -48.86977005],2.4428016868805393,1.2297810491270154,0.7987949415091824,0.7721107259793055
11,20.664962771799562,19.99612426780554,19.870834350747415,[-98.76364136 -48.86936951],[-119.42860413  -48.86973572],[-139.42472839  -48.86983109],[-159.29556274  -48.86975098],2.7707990968181186,1.5804814246604337,1.0081193248166533,0.887648397935742
12,20.779411341444067,20.06624603295996,19.887298584028645,[-98.46864319 -48.8689003 ],[-119.2480545   -48.86993027],[-139.31430054  -48.86983109],[-159.20159912  -48.86978912],3.0741923335910686,1.9364531626690829,1.2261338279531453,1.0515104385903624
13,20.88980873570402,20.148437502085816,19.909072875999954,[-98.14409637 -48.86832809],[-119.03390503  -48.87016678],[-139.18234253  -48.86987686],[-159.09141541  -48.86984634],3.3736433217850994,2.2665226768330227,1.4513391723638591,1.1717970494897085
14,20.99793260777416,20.240303045532865,19.939453126402686,[-97.78945923 -48.86771393],[-118.78739166  -48.87041473],[-139.0276947   -48.86992264],[-158.96714783  -48.86968613],3.6790065973712633,2.5905461707696706,1.6797888540826422,1.3486868407667647
15,21.106567679683994,20.337028515399293,19.976074219122975,[-97.4056015  -48.86712646],[-118.51216888  -48.8706665 ],[-138.84919739  -48.86996841],[-158.82527161  -48.86984634],3.9638094489314057,2.887630025004391,1.9228138008305604,1.523677685136788
16,21.211082919276702,20.441177390056172,20.02198791504488,[-96.99347687 -48.86654282],[-118.20455933  -48.87096405],[-138.64573669  -48.87001801],[-158.66772461  -48.87000275],4.250201561666419,3.2321930239132297,2.171018152516752,1.6739262709250284
17,21.30935734158571,20.554718052925146,20.07730102576172,[-96.55281067 -48.86600113],[-117.86216736  -48.87127304],[-138.41688538  -48.8700676 ],[-158.4941864   -48.87018967],4.532191860723149,3.569603090973507,2.4272051142389683,1.8435096363863066
18,21.402985485068232,20.674118094157837,20.14103698912575,[-96.08447266 -48.86549759],[-117.48745728  -48.87158585],[-138.16157532  -48.87011719],[-158.3026123   -48.87038803],4.806607682034843,3.888322329372643,2.6650824825065738,2.0238675670529918
19,21.492318275948183,20.80077368863349,20.21118164498096,[-95.58874512 -48.86505127],[-117.08106232  -48.87185287],[-137.88183594  -48.87017059],[-158.09301758  -48.87059021],5.08073741636747,4.2064202280654985,2.9232635791116475,2.2011265349629863
20,21.570916510034017,20.92974862206553,20.292129524777103,[-95.07236481 -48.86467361],[-116.64328003  -48.87212753],[-137.57302856  -48.87022018],[-157.86515808  -48.8707962 ],5.162348555072909,4.51551645938904,3.230671432408085,2.3873672045728918
21,21.619462543741072,21.057396039961784,20.384124768609713,[-94.55651093 -48.86436462],[-116.17597198  -48.87237549],[-137.23336792  -48.87027359],[-157.61749268  -48.87099457],5.215997136552218,4.796432956674732,3.5321672210418367,2.589734732962123
22,21.660752999739998,21.181663636021515,20.485336322499897,[-94.02152252 -48.86413574],[-115.68227386  -48.87260818],[-136.86393738  -48.870327  ],[-157.34927368  -48.87120438],5.508047725290404,5.049014402152043,3.832710286141648,2.7659625027046832
23,21.715379592436932,21.296707289350852,20.59767153473149,[-93.45198059 -48.86398315],[-115.1673584   -48.87278748],[-136.46406555  -48.8703804 ],[-157.06173706  -48.87141418],5.847900410837453,5.1431867588725275,4.1358056222693715,2.9820712298433545
24,21.79781528408581,21.382965234767347,20.714630161144942,[-92.85422516 -48.86391449],[-114.65203857  -48.87294006],[-136.03500366  -48.87043381],[-156.74963379  -48.87162399],6.095802317439978,5.183063135628946,4.412303458221769,3.23942447963306
25,21.883958808333293,21.46363845965906,20.83168034211711,[-92.23236084 -48.86392975],[-114.11631775  -48.87304688],[-135.57995605  -48.87047577],[-156.41163635  -48.8718338 ],6.3489271335707365,5.522081889097598,4.660719877306386,3.4984283157026543
26,21.954767201780054,21.562423867641076,20.94812017585921,[-91.58245087 -48.86403275],[-113.53721619  -48.87312317],[-135.09963989  -48.8704834 ],[-156.04776001  -48.87205124],6.641972373933549,5.962021356055544,4.9270868335878015,3.756482451122239
27,22.020349410651864,21.66686265234006,21.067062452929125,[-90.90353394 -48.86421585],[-112.92388153  -48.8731575 ],[-134.59074402  -48.87048721],[-155.6578064   -48.87226486],6.922552192632067,6.234999183607173,5.2035918285945915,4.019737209881121
28,22.089479234858832,21.786590737021417,21.16758737321832,[-90.19754028 -48.86448288],[-112.28701782  -48.87313843],[-134.0736084   -48.87049103],[-155.24119568  -48.87247467],7.191156275291616,6.47438053036246,5.161639217246292,4.2877405580039065
29,22.156030288248118,21.928993376720577,21.24983226262318,[-89.4642334  -48.86480713],[-111.62026215  -48.87306976],[-133.54925537  -48.87049103],[-154.79908752  -48.87264633],7.4678827728813895,6.818316075665614,5.333955766725119,4.521602364998711
30,22.21471540399842,22.07530226114411,21.341858034943062,[-88.70302582 -48.86520386],[-110.91773987  -48.87295914],[-132.99304199  -48.87049866],[-154.3348999   -48.87280655],7.745932957755351,7.162855312263206,5.744215489315457,4.744127409734551
31,22.269776541697976,22.20922100614383,21.45416273483689,[-87.91442108 -48.86565018],[-110.18419647  -48.87281036],[-132.39341736  -48.87050247],[-153.84757996  -48.87292862],8.01536609900593,7.456831694750059,6.162443637855481,4.979691570756069
32,22.3218011795001,22.335319620109736,21.580673363747923,[-87.09934998 -48.86612701],[-109.42115021  -48.87263107],[-131.75646973  -48.87050629],[-153.33714294  -48.87301636],8.276467856117836,7.7620099341542055,6.51953697249379,5.125429658183421
33,22.367783342340964,22.457496722772618,21.739151153471393,[-86.25850677 -48.86661148],[-108.62628937  -48.87240219],[-131.08378601  -48.8705101 ],[-152.82293701  -48.87308502],8.531242860195384,8.082938572936737,6.877312662329608,5.174433713248958
34,22.40770015674853,22.574058594549044,21.91374222168034,[-85.39253998 -48.86709976],[-107.80023956  -48.87216187],[-130.3742981   -48.87049103],[-152.28804016  -48.87310791],8.778855721491384,8.385854157608568,7.2643265788081,5.5153698945188845
35,22.442589223798922,22.67900853168813,22.084777991166625,[-84.50218201 -48.86759186],[-106.94477081  -48.87192154],[-129.6237793   -48.87044907],[-151.70855713  -48.87310028],9.018773319121484,8.678174418630215,7.683597095254168,5.986914180723249
36,22.471687611574914,22.772201574157396,22.254745640410853,[-83.58824921 -48.86804581],[-106.05993652  -48.87168503],[-128.83213806  -48.87040329],[-151.08688354  -48.87304688],9.251632709085985,8.972446843468962,8.083728796910862,6.372764177768213
37,22.494629100022994,22.855712915227826,22.42636123577451,[-82.65136719 -48.86846161],[-105.14599609  -48.87141418],[-128.00170898  -48.8703537 ],[-150.42807007  -48.87296295],9.477593258562313,9.259415064363374,8.4695196215306,6.762584819309645
38,22.51184093979005,22.92835237202209,22.59231581582068,[-81.69223785 -48.86884689],[-104.20407867  -48.87116623],[-127.13243103  -48.87030792],[-149.7247467   -48.87284088],9.696498537318677,9.535040214713225,8.860653882842472,7.243400773067766
39,22.523429936312027,22.989357003883462,22.74838269409974,[-80.71157837 -48.86919022],[-103.23500824  -48.87091064],[-126.22436523  -48.87025833],[-148.9727478   -48.87265015],9.908522106045934,9.804535173392345,9.242125516457667,7.715861168098216
40,22.52928164928159,23.039901738735427,22.896804919064603,[-79.71005249 -48.86948013],[-102.23933411  -48.87070084],[-125.27923584  -48.87020493],[-148.17604065  -48.87244415],10.113878570344822,10.067267599314611,9.606493953676424,8.156674717639778
41,22.529617322359485,23.080253603091794,23.035904018718803,[-78.6883316  -48.86973953],[-101.21794891  -48.87049866],[-124.29820251  -48.87019348],[-147.33410645  -48.87220764],10.312636674814794,10.320182024063028,9.963798524791642,8.624146864685128
42,22.524734499086286,23.110031128360703,23.161682197123138,[-77.64707947 -48.86999512],[-100.17181396  -48.87029648],[-123.28184509  -48.87015533],[-146.44352722  -48.87193298],10.504909764996997,10.56428542698063,10.312325482755588,9.122798463580578
43,22.5148162843222,23.129829406753696,23.272491505602318,[-76.58690643 -48.87021255],[-99.10172272 -48.87013245],[-122.23155212  -48.87010574],[-145.50404358  -48.87163925],10.69087810554543,10.800430412079242,10.64540481946282,9.590053036217263
44,22.500099186331482,23.14019775410277,23.371948276708526,[-75.508461   -48.87041473],[-98.00856018 -48.86997986],[-121.14875793  -48.87007523],[-144.52070618  -48.87134552],10.870672375381735,11.027484986351348,10.966278078560626,10.01993596613474
45,22.48089600891064,23.141181947129187,23.459747336729084,[-74.41234589 -48.8705864 ],[-96.89324188 -48.86982727],[-120.03442383  -48.87007523],[-143.49417114  -48.87109756],11.044427026621792,11.24532706532389,11.277293207539547,10.454027484629158
46,22.457504295905018,23.13315582492067,23.53424073655135,[-73.29914093 -48.8707428 ],[-95.7566452  -48.86971664],[-118.88980103  -48.87003326],[-142.42404175  -48.87084198],11.212300378324858,11.454617545717348,11.573050502701529,10.894942584302187
47,22.430160557572453,23.117210391653625,23.593559272261704,[-72.16946411 -48.87086868],[-94.59962463 -48.86961365],[-117.71683502  -48.87001419],[-141.31039429  -48.87059402],11.374443104449222,11.655236276714398,11.847930910094371,11.318586605735545
48,22.399231003690254,23.094093327835463,23.63944244617731,[-71.02383423 -48.87097168],[-93.42306519 -48.86952591],[-116.51715851  -48.87001038],[-140.15660095  -48.87034225],11.531001122643518,11.846900005902675,12.111470224429718,11.707115380514866
49,22.36509710165809,23.063713079651563,23.672981262627797,[-69.86283875 -48.87105179],[-92.22793579 -48.8694725 ],[-115.29164886  -48.86999512],[-138.96463013  -48.87013626],11.682126063372163,12.028533946084709,12.364738466895385,12.090305477472404
50,22.328178470001316,23.02655029998385,23.693038940466845,[-68.68698883 -48.87111282],[-91.01516724 -48.8694191 ],[-114.04171753  -48.86998749],[-137.73475647  -48.86994553],11.827981004586416,12.201358801546032,12.602091791450452,12.462866893098738
51,22.28870399118297,22.983360298231513,23.700325012828703,[-67.49681854 -48.87116623],[-89.78552246 -48.86936569],[-112.76888275  -48.86996078],[-136.46920776  -48.86978912],11.96870804240113,12.36687469728873,12.82583236938097,12.808965753956983
52,22.246933058751775,22.934555061431503,23.695732118472783,[-66.29283905 -48.87118912],[-88.53977203 -48.86935806],[-111.47432709  -48.86995316],[-135.1700592   -48.86966324],12.104110718649085,12.524553299227895,13.038539887929254,13.139466329236445
53,22.203140334921518,22.88047028361772,23.679267886624228,[-65.0756073  -48.87119675],[-87.27874756 -48.86935806],[-110.15921783  -48.86995316],[-133.83848572  -48.86955643],12.234047889823557,12.674346923919716,13.237990380914654,13.458167100401552
54,22.15750892670378,22.821830757370208,23.651062016448986,[-63.84562683 -48.87119675],[-86.00313568 -48.86935425],[-108.82496643  -48.86995316],[-132.47602844  -48.86948013],12.359395027176054,12.816944122315814,13.424081804232534,13.757470141664266
55,22.110363083361268,22.75910950495046,23.61194611182539,[-62.6033287  -48.87119675],[-84.71369171 -48.86935425],[-107.47280121  -48.86995316],[-131.08474731  -48.86942673],12.48038196588832,12.952473640538471,13.59846878262051,14.037720684129221
56,22.061935502061587,22.69278717733862,23.562438970471533,[-61.34915924 -48.87120056],[-83.41109467 -48.86935425],[-106.10388184  -48.86991501],[-129.6663208   -48.86940002],12.596862793774216,13.08103370697033,13.761044504660347,14.301708222232449
57,22.012447434608323,22.62336731652004,23.503105169384618,[-60.08356857 -48.87120056],[-82.09601593 -48.86935425],[-104.71938324  -48.86991501],[-128.2224884  -48.8693924],12.709093095746244,13.20302486484855,13.911889077006917,14.547429084819921
58,21.962162093201517,22.551300055895236,23.43471527682345,[-58.80695724 -48.87117004],[-80.76911926 -48.86935043],[-103.32041931  -48.86991501],[-126.75513458  -48.8693924 ],12.81729793861493,13.318717004013116,14.052024842356493,14.773956298861268
59,21.91127402840864,22.477005011973283,23.35811615574881,[-57.5197258  -48.87112808],[-79.43099976 -48.86935043],[-101.90800476  -48.86991501],[-125.26612091  -48.8693924 ],12.921519282023421,13.428312303655014,14.18189621072105,14.982692718679756
60,21.85998923456227,22.400894171224678,23.274047857430084,[-56.22227097 -48.87111664],[-78.08226013 -48.86938858],[-100.4831543   -48.86991501],[-123.75720215  -48.8693924 ],13.02187824408554,13.532118800212691,14.301689148928647,15.173780441652132
61,21.808502264525647,22.32337952245404,23.18332672708195,[-54.91496277 -48.87111664],[-76.72346497 -48.86940384],[-99.04684448 -48.86991501],[-122.2301712  -48.8693924],13.118543627105499,13.63041591801266,14.411958695446291,15.346946716874436
62,21.756950442574425,22.24488068214266,23.086601263239444,[-53.59818268 -48.87107468],[-75.35513306 -48.86940384],[-97.60001373 -48.86991501],[-120.68661499  -48.8693924 ],13.211619380419936,13.723444940394424,14.513232232152866,15.506669998929553
63,21.705535949219556,22.16575623096402,22.984397894212176,[-52.27226257 -48.87104797],[-73.97779846 -48.86942673],[-96.14355469 -48.86991501],[-119.12795258  -48.86938858],13.301217080803761,13.811468126811832,14.605876923646,15.648491860452193
64,21.654388487571282,22.08632660426848,22.87808991084175,[-50.93755341 -48.87104797],[-72.59194183 -48.86943817],[-94.67826843 -48.86991501],[-117.55635834  -48.86938858],13.387457848945013,13.894758226154627,14.690356255639,15.769313813769662
65,21.603614867106444,22.006942754189392,22.768486028773246,[-49.5943985  -48.87104797],[-71.19801331 -48.86943817],[-93.20495605 -48.86991501],[-115.97344208  -48.86940002],13.470463754911984,13.973547937217994,14.767190934306184,15.876566888855718
66,21.55335622575257,21.92791748524685,22.65613556394067,[-48.24309921 -48.87099838],[-69.79645538 -48.86945724],[-91.72437286 -48.86991501],[-114.38050842  -48.8694458 ],13.55033874802354,14.048082353989388,14.836828232898977,15.970762254689664
67,21.50371175457677,21.84951782690236,22.541625980468122,[-46.88396835 -48.87099075],[-68.38768005 -48.86946487],[-90.23719788 -48.86991501],[-112.77882385  -48.86949539],13.62718677618603,14.11859512501898,14.899721146718473,16.053487779571714
68,21.45477681817681,21.77199554908684,22.425498966328192,[-45.51729965 -48.87099075],[-66.97207642 -48.86946487],[-88.74407196 -48.86991501],[-111.16957092  -48.86949539],13.701117517049939,14.18530845835244,14.956352234967527,16.1216907503623
69,21.406620077067696,21.695610050226318,22.308837894499952,[-44.14338303 -48.87099075],[-65.55000305 -48.86950684],[-87.2456131  -48.86991501],[-109.55445099  -48.86949921],13.772236826084171,14.248435976597353,15.007164956205857,16.17353057889781
70,21.35932545709464,21.62055206676953,22.192359928211694,[-42.76249313 -48.87094498],[-64.12181854 -48.86951065],[-85.74237061 -48.86991501],[-107.93473053  -48.86949921],13.840634348729491,14.308171273085302,15.052599907966629,16.2156791688124
71,21.31293873793738,21.547023776987512,22.076393131357158,[-41.37490082 -48.87093735],[-62.68783951 -48.86951065],[-84.23486328 -48.86991501],[-106.31125641  -48.86949921],13.906412125617297,14.3647174846255,15.093085290017338,16.248626709050352
72,21.267528581789335,21.475154880515834,21.96158600247138,[-39.98085785 -48.87093735],[-61.24838638 -48.86951065],[-82.72354126 -48.86991501],[-104.68512726  -48.86949921],13.969665528743048,14.418258668272161,15.129034043338386,16.2706584930934
73,21.22311787632307,21.40512848282321,21.848403934620674,[-38.580616   -48.87093735],[-59.80373383 -48.86951065],[-81.2088623  -48.86991501],[-103.05726624  -48.86949921],14.030479433028882,14.468975068652231,15.160834313377876,16.284107208310257
74,21.179756210569167,21.33704376603852,21.737243656320594,[-37.17440796 -48.87090683],[-58.35416412 -48.86951065],[-79.69120789 -48.86991501],[-101.42845154  -48.86949921],14.088942530211002,14.517048837626062,15.188869477211224,16.290454864584184
75,21.13745503019747,21.271018985152033,21.628471378508564,[-35.76247025 -48.87090302],[-56.89992523 -48.86954498],[-78.17094421 -48.86991501],[-99.79941559 -48.86949921],14.145146371333958,14.562647821872277,15.213494301683834,16.28938293469653
76,21.096241040779663,21.20711899119903,21.522453312122003,[-34.34502411 -48.87090302],[-55.44126511 -48.8695488 ],[-76.64838409 -48.86991501],[-98.1708374  -48.86949921],14.199169160907713,14.60591030225584,15.23505687792299,16.281824112133283
77,21.056102793339278,21.145439151120364,21.41950989173115,[-32.92228317 -48.87085724],[-53.97838593 -48.8695488 ],[-75.12382507 -48.86991501],[-96.54333496 -48.86949921],14.25109195966807,14.64698600902872,15.253873825802621,16.269001007374698
78,21.01707844015028,21.085990908941803,21.319854740382826,[-31.49445724 -48.87085342],[-52.51153564 -48.8695488 ],[-73.59752655 -48.86991501],[-94.91738129 -48.86949921],14.300992012821506,14.686006547555417,15.27025032110372,16.251298904852714
79,20.97913936856823,21.028812411635997,21.223739628096503,[-30.06174278 -48.87085342],[-51.04088211 -48.8695488 ],[-72.06969452 -48.86991501],[-93.29343414 -48.86949921],14.348937989486728,14.723090173587591,15.284457207333586,16.229269028329952
80,20.942289392108666,20.973930361822923,21.13134003102175,[-28.62433052 -48.87085342],[-49.56661987 -48.86956406],[-70.54055023 -48.86991501],[-91.67189026 -48.86949539],14.395007134977396,14.758346559743705,15.296766281673031,16.203754425912997
