,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,13.753524780273438,13.753532409667969,13.753532409667969,[-100.          -48.86999893],[-113.75352478  -48.86999893],[-127.50705719  -48.86999893],[-141.2605896   -48.86999893],0.0,0.0,0.0,0.0
1,13.753524780273438,13.753532409667969,13.753532409667969,[-100.          -48.86999893],[-113.75352478  -48.86999893],[-127.50705719  -48.86999893],[-141.2605896   -48.86999893],0.0,0.0,0.0,0.0
2,13.753524780273438,13.753532409667969,13.753532409667969,[-100.          -48.86999893],[-113.75352478  -48.86999893],[-127.50705719  -48.86999893],[-141.2605896   -48.86999893],0.0,0.0,0.0,0.0
3,13.755470275878906,13.753532409667969,13.753524780273438,[-99.99635315 -48.86999893],[-113.75182343  -48.86999893],[-127.50535583  -48.86999893],[-141.25888062  -48.86999893],0.09550646767510092,0.047724708752580204,0.04772368804790132,0.047723963728220194
4,13.774421693061374,13.752891540738963,13.753913879447433,[-99.95761871 -48.86987686],[-113.73204041  -48.87005615],[-127.48493195  -48.86997986],[-141.23884583  -48.87001801],0.6344096147787697,0.3674989702894397,0.39289075534076934,0.31449792061734383
5,13.85501861748926,13.753372195684493,13.751777649078688,[-99.87469482 -48.87005615],[-113.72971344  -48.8702774 ],[-127.48308563  -48.86997604],[-141.23486328  -48.86991119],0.9771261277643981,3.1988487562523306e-05,2.9771569433499692e-05,3.6148117697209e-05
6,13.949943549140475,13.758758549017086,13.748588562202766,[-99.76821899 -48.86988831],[-113.71816254  -48.87031937],[-127.47692108  -48.86998367],[-141.22550964  -48.86991119],1.1549958715889934,0.18888748390009888,0.12632174600770535,0.1997618853743392
7,14.050834660940028,13.767456055956403,13.744094849903872,[-99.63518524 -48.86982346],[-113.6860199   -48.87020493],[-127.45347595  -48.87001801],[-141.1975708   -48.86983109],1.4964319537163493,0.3766748594603454,0.2860372323950817,0.30994120040975126
8,14.171150209557354,13.783004762169611,13.742279052967866,[-99.46208954 -48.86988068],[-113.63323975  -48.870121  ],[-127.41624451  -48.86992264],[-141.15852356  -48.86984253],1.8566167310947361,0.6595948637777131,0.41955466781690404,0.42060041359800127
9,14.293243408791586,13.811218261720857,13.74265289566068,[-99.25876617 -48.86988068],[-113.55200958  -48.87001038],[-127.36322784  -48.87000275],[-141.10588074  -48.86973572],2.141087684251594,0.921545512264662,0.5968858945568462,0.6401439520198986
10,14.412101745704419,13.850448608516635,13.7447509767536,[-99.02732086 -48.86972046],[-113.43942261  -48.86977386],[-127.28987122  -48.86983109],[-141.03462219  -48.86975861],2.4428016868805393,1.273460152023201,0.8299962786762981,0.8166128516261524
11,14.527465826821436,13.906631470482065,13.748092652536265,[-98.76364136 -48.86936951],[-113.29110718  -48.86980438],[-127.19773865  -48.86994934],[-140.9458313   -48.86977005],2.7707990968181186,1.599025131431703,1.0266482876451712,0.9580302050313122
12,14.639961268285331,13.978706360331733,13.756317139357352,[-98.46864319 -48.8689003 ],[-113.10860443  -48.86976624],[-127.08731079  -48.86988068],[-140.84362793  -48.86974335],3.0741923335910686,1.9618527903961362,1.235111253168161,1.0777452797100597
13,14.747596810844222,14.062530517983767,13.773452760952814,[-98.14409637 -48.86832809],[-112.89169312  -48.86976624],[-126.95422363  -48.86987305],[-140.72767639  -48.86962891],3.3736433217850994,2.2903244495761164,1.4653408677645645,1.210947209013666
